# Adjusted gross income floor on percentiles (constant dollars)
"Tax Year","Top 0.1 percent","Top 1 percent","Top 5 percent","Top 10 percent","Top 25 percent"
    1987,13.12,[6],26.41,22.10,19.77,16.61,14.60
    1988,13.21,[6],24.04,21.14,19.18,16.47,14.64
    1989,13.12,[6],23.34,20.71,18.77,16.27,14.53
    1990,12.95,[6],23.25,20.46,18.50,16.06,14.36
    1991,12.75,[6],24.37,20.62,18.63,15.93,14.20
    1992,12.94,[6],25.05,21.19,19.13,16.25,14.44
    1993,13.32,[6],28.01,22.71,20.20,16.90,14.90
    1994,13.50,[6],28.23,23.04,20.48,17.15,15.11
    1995,13.86,[6],28.73,23.53,20.97,17.58,15.47
    1996,14.34,[6],28.87,24.07,21.55,18.12,15.96
    1997,14.48,[6],27.64,23.62,21.36,18.18,16.09
    1998,14.42,[6],27.12,23.63,21.42,18.16,16.00
    1999,14.85,[6],27.53,24.18,21.98,18.66,16.43
    2000,15.26,[6],27.45,24.42,22.34,19.09,16.86
    2001,14.23,28.20,27.50,23.68,21.41,18.08,15.85
    2002,13.03,28.49,27.25,22.95,20.51,16.99,14.66
    2003,11.90,24.64,24.31,20.74,18.49,15.38,13.35
    2004,12.10,23.09,23.49,20.67,18.60,15.53,13.51
    2005,12.45,22.52,23.13,20.78,18.84,15.86,13.84
    2006,12.60,21.98,22.79,20.68,18.86,15.95,13.98
    2007,12.68,21.46,22.45,20.53,18.79,15.98,14.03
    2008,12.24,22.70,23.27,20.70,18.71,15.68,13.65
    2009,11.06,24.28,24.01,20.46,18.05,14.68,12.50
# Adjusted gross income share (percentage)
"Tax Year","Top 0.1 percent","Top 1 percent","Top 5 percent","Top 10 percent","Top 25 percent"
    1986,100.00,[6],11.30,24.11,35.12,59.04,83.34
    1987,100.00,[6],12.32,25.67,36.90,60.75,84.37
    1988,100.00,[6],15.16,28.51,39.45,62.44,85.07
    1989,100.00,[6],14.19,27.84,39.00,62.28,85.04
    1990,100.00,[6],14.00,27.62,38.77,62.13,84.97
    1991,100.00,[6],12.99,26.83,38.20,61.85,84.87
    1992,100.00,[6],14.23,28.01,39.23,62.47,85.08
    1993,100.00,[6],13.79,27.76,39.05,62.45,85.08
    1994,100.00,[6],13.80,27.85,39.19,62.64,85.11
    1995,100.00,[6],14.60,28.81,40.16,63.37,85.46
    1996,100.00,[6],16.04,30.36,41.59,64.32,85.92
    1997,100.00,[6],17.38,31.79,42.83,65.05,86.16
    1998,100.00,[6],18.47,32.85,43.77,65.63,86.33
    1999,100.00,[6],19.51,34.04,44.89,66.46,86.75
    2000,100.00,[6],20.81,35.30,46.01,67.15,87.01
    2001,100.00,8.10,17.53,31.99,43.11,65.23,86.19
    2002,100.00,7.06,16.12,30.55,41.77,64.37,85.77
    2003,100.00,7.57,16.77,31.18,42.36,64.86,86.01
    2004,100.00,9.14,19.00,33.45,44.35,66.13,86.58
    2005,100.00,10.65,21.20,35.75,46.44,67.52,87.17
    2006,100.00,11.22,22.06,36.66,47.32,68.16,87.49
    2007,100.00,11.93,22.83,37.44,48.05,68.71,87.74
    2008,100.00,9.96,20.00,34.73,45.77,67.38,87.25
    2009,100.00,7.80,16.93,31.72,43.19,65.81,86.52
# Total income tax share (percentage)
"Tax Year","Top 0.1 percent","Top 1 percent","Top 5 percent","Top 10 percent","Top 25 percent"
    1986,100.00,[6],25.75,42.57,54.69,76.02,93.54
    1987,100.00,[6],24.81,43.26,55.61,76.92,93.93
    1988,100.00,[6],27.58,45.62,57.28,77.84,94.28
    1989,100.00,[6],25.24,43.94,55.78,77.22,94.17
    1990,100.00,[6],25.13,43.64,55.36,77.02,94.19
    1991,100.00,[6],24.82,43.38,55.82,77.29,94.52
    1992,100.00,[6],27.54,45.88,58.01,78.48,94.94
    1993,100.00,[6],29.01,47.36,59.24,79.27,95.19
    1994,100.00,[6],28.86,47.52,59.45,79.55,95.23
    1995,100.00,[6],30.26,48.91,60.75,80.36,95.39
    1996,100.00,[6],32.31,50.97,62.51,81.32,95.68
    1997,100.00,[6],33.17,51.87,63.20,81.67,95.72
    1998,100.00,[6],34.75,53.84,65.04,82.69,95.79
    1999,100.00,[6],36.18,55.45,66.45,83.54,96.00
    2000,100.00,[6],37.42,56.47,67.33,84.01,96.09
    2001,100.00,16.06,33.89,53.25,64.89,82.90,96.03
    2002,100.00,15.43,33.71,53.80,65.73,83.90,96.50
    2003,100.00,15.68,34.27,54.36,65.84,83.88,96.54
    2004,100.00,17.44,36.89,57.13,68.19,84.86,96.70
    2005,100.00,19.26,39.38,59.67,70.30,85.99,96.93
    2006,100.00,19.56,39.89,60.14,70.79,86.27,97.01
    2007,100.00,20.19,40.42,60.63,71.22,86.59,97.11
    2008,100.00,18.47,38.02,58.72,69.94,86.34,97.30
    2009,100.00,17.11,36.73,58.66,70.47,87.30,97.75
